time,x,y,z,abs avg
1.362,0.276,0.214,0.910,0.466667
1.364,0.280,0.230,0.939,0.483
1.367,0.298,0.246,0.913,0.485667
1.369,0.298,0.266,0.933,0.499
1.372,0.288,0.280,0.930,0.499333
1.377,0.285,0.279,0.950,0.504667
1.378,0.304,0.262,0.932,0.499333
1.379,0.319,0.245,0.923,0.495667
1.382,0.320,0.257,0.945,0.507333
1.384,0.300,0.277,0.930,0.502333
1.387,0.307,0.274,0.956,0.512333
1.388,0.332,0.300,0.902,0.511333
1.392,0.330,0.318,0.918,0.522
1.394,0.272,0.355,0.947,0.524667
1.396,0.286,0.359,0.943,0.529333
1.399,0.311,0.368,0.913,0.530667
1.401,0.303,0.355,0.923,0.527
1.403,0.282,0.355,0.929,0.522
1.406,0.253,0.373,0.937,0.521
1.414,0.264,0.370,0.936,0.523333
1.414,0.290,0.377,0.889,0.518667
1.429,0.286,0.352,0.893,0.510333
1.430,0.263,0.348,0.919,0.51
1.430,0.280,0.360,0.892,0.510667
1.430,0.287,0.375,0.854,0.505333
1.430,0.296,0.351,0.856,0.501
1.431,0.287,0.336,0.849,0.490667
1.431,0.276,0.316,0.873,0.488333
1.431,0.275,0.314,0.866,0.485
1.435,0.287,0.312,0.857,0.485333
1.436,0.278,0.298,0.873,0.483
1.437,0.267,0.279,0.898,0.481333
1.442,0.266,0.290,0.894,0.483333
1.442,0.274,0.299,0.903,0.492
1.445,0.270,0.310,0.909,0.496333
1.448,0.269,0.313,0.920,0.500667
1.451,0.264,0.312,0.930,0.502
1.452,0.264,0.314,0.935,0.504333
1.456,0.270,0.329,0.934,0.511
1.459,0.264,0.347,0.935,0.515333
1.460,0.264,0.369,0.938,0.523667
1.462,0.265,0.391,0.933,0.529667
1.465,0.271,0.401,0.936,0.536
1.467,0.281,0.405,0.932,0.539333
1.470,0.284,0.405,0.935,0.541333
1.472,0.282,0.416,0.932,0.543333
1.475,0.282,0.414,0.937,0.544333
1.477,0.270,0.403,0.941,0.538
1.479,0.269,0.393,0.940,0.534
1.482,0.274,0.393,0.940,0.535667
1.484,0.268,0.397,0.945,0.536667
1.487,0.266,0.399,0.950,0.538333
