time,x,y,z,gforce
0.612,0.173,0.018,0.965,0.981
0.625,0.173,0.019,0.962,0.978
0.626,0.177,0.019,0.962,0.978
0.626,0.177,0.014,0.960,0.977
0.626,0.175,0.019,0.959,0.975
0.627,0.179,0.022,0.960,0.977
0.627,0.189,0.019,0.953,0.972
0.628,0.192,0.016,0.955,0.974
0.632,0.189,0.018,0.953,0.972
0.635,0.192,0.021,0.951,0.970
0.637,0.192,0.016,0.955,0.974
0.638,0.197,0.022,0.958,0.978
0.642,0.195,0.024,0.960,0.980
0.643,0.189,0.020,0.961,0.980
0.646,0.193,0.017,0.953,0.972
0.649,0.191,0.015,0.958,0.977
0.651,0.187,0.018,0.964,0.982
0.653,0.186,0.012,0.967,0.985
0.656,0.186,0.014,0.964,0.982
0.658,0.193,0.007,0.959,0.978
0.660,0.190,0.006,0.965,0.983
0.662,0.192,0.010,0.964,0.983
0.666,0.196,0.004,0.956,0.976
0.667,0.194,0.002,0.964,0.983
0.670,0.199,-0.000,0.957,0.978
0.686,0.201,-0.008,0.957,0.978
0.687,0.203,-0.013,0.957,0.978
0.687,0.205,-0.015,0.951,0.973
0.688,0.205,-0.016,0.953,0.975
0.688,0.213,-0.024,0.947,0.971
0.688,0.212,-0.025,0.947,0.971
0.689,0.215,-0.030,0.944,0.969
0.694,0.219,-0.031,0.944,0.970
0.694,0.218,-0.034,0.956,0.981
0.694,0.220,-0.037,0.952,0.978
0.698,0.221,-0.042,0.953,0.979
0.700,0.222,-0.044,0.956,0.983
0.702,0.224,-0.053,0.953,0.980
0.704,0.218,-0.055,0.957,0.983
0.708,0.221,-0.053,0.952,0.978
0.709,0.222,-0.056,0.954,0.981
0.713,0.223,-0.058,0.956,0.983
0.722,0.221,-0.060,0.953,0.980
0.722,0.226,-0.054,0.954,0.982
0.723,0.227,-0.057,0.954,0.983
0.723,0.226,-0.063,0.953,0.982
0.723,0.231,-0.056,0.946,0.975
0.727,0.232,-0.062,0.942,0.972
0.729,0.235,-0.066,0.946,0.977
0.733,0.237,-0.067,0.940,0.972
0.734,0.239,-0.068,0.944,0.976
0.737,0.239,-0.065,0.941,0.973
0.739,0.240,-0.065,0.942,0.974
0.741,0.238,-0.071,0.944,0.976
0.743,0.241,-0.068,0.942,0.974
0.746,0.239,-0.067,0.943,0.975
0.748,0.239,-0.065,0.945,0.977
0.750,0.242,-0.065,0.941,0.974
0.753,0.238,-0.071,0.944,0.976
0.756,0.238,-0.076,0.944,0.976
0.758,0.249,-0.079,0.948,0.983
0.761,0.244,-0.074,0.947,0.981
0.763,0.245,-0.087,0.946,0.981
0.766,0.246,-0.081,0.941,0.976
0.768,0.247,-0.081,0.948,0.983
0.770,0.246,-0.076,0.946,0.981
0.773,0.244,-0.078,0.952,0.986
0.775,0.246,-0.079,0.951,0.985
0.778,0.248,-0.076,0.943,0.979
0.781,0.245,-0.076,0.944,0.978
0.783,0.247,-0.077,0.938,0.973
0.785,0.240,-0.073,0.941,0.974
0.787,0.240,-0.072,0.943,0.976
0.790,0.239,-0.070,0.942,0.974
0.793,0.237,-0.065,0.946,0.977
0.795,0.227,-0.088,0.952,0.982
0.798,0.248,-0.186,0.978,1.026
0.800,0.298,-0.224,0.937,1.008
0.802,0.291,-0.161,0.882,0.943
0.805,0.198,-0.048,0.908,0.930
0.807,0.149,0.009,0.942,0.954
0.809,0.203,0.062,0.904,0.929
0.812,0.234,0.063,0.935,0.966
0.821,0.189,0.026,0.969,0.987
0.821,0.212,-0.092,1.007,1.033
0.821,0.323,-0.150,0.908,0.976
0.822,0.312,-0.196,0.890,0.964
0.824,0.199,-0.242,1.016,1.064
0.827,0.202,-0.248,1.003,1.052
0.829,0.218,-0.217,1.008,1.054
0.832,0.196,-0.156,1.009,1.040
0.836,0.223,-0.112,0.961,0.993
0.837,0.236,-0.073,0.929,0.962
0.839,0.232,-0.066,0.964,0.994
0.842,0.217,-0.063,0.964,0.990
0.844,0.189,-0.079,0.992,1.013
0.847,0.181,-0.080,0.987,1.007
0.849,0.184,-0.112,0.961,0.985
0.851,0.190,-0.152,0.959,0.989
0.854,0.218,-0.189,0.933,0.977
0.857,0.220,-0.191,0.951,0.995
0.859,0.201,-0.191,0.983,1.022
0.862,0.226,-0.172,0.952,0.993
0.866,0.213,-0.160,0.937,0.974
0.867,0.176,-0.150,0.947,0.975
0.869,0.057,-0.035,0.925,0.927
0.871,-0.000,0.036,0.921,0.922
0.874,0.158,-0.130,0.920,0.942
0.877,0.234,-0.127,0.711,0.759
0.878,0.201,-0.414,1.024,1.123
0.883,0.132,-0.274,0.916,0.965
0.884,0.183,-0.207,0.857,0.900
0.886,0.270,-0.345,0.947,1.043
0.890,0.230,-0.324,0.884,0.969
0.891,0.009,-0.287,1.166,1.201
0.894,0.137,-0.246,1.037,1.075
0.896,0.241,-0.204,0.962,1.012
0.904,0.131,-0.207,1.067,1.095
0.904,0.098,-0.224,1.143,1.168
0.905,0.138,-0.225,1.104,1.135
0.910,0.145,-0.225,1.102,1.134
0.911,0.146,-0.222,1.071,1.104
0.911,0.146,-0.271,0.993,1.040
0.919,0.092,-0.336,1.122,1.175
0.920,0.174,-0.334,1.001,1.069
0.937,0.178,-0.299,0.951,1.013
0.937,0.135,-0.289,1.006,1.055
0.937,0.169,-0.262,0.912,0.964
0.938,0.162,-0.246,0.920,0.966
0.938,0.174,-0.273,0.887,0.944
0.938,0.155,-0.249,0.874,0.922
0.938,0.102,-0.244,0.914,0.951
0.939,0.070,-0.210,0.913,0.939
0.939,0.067,-0.175,0.893,0.913
0.942,0.042,-0.183,0.918,0.937
0.943,0.033,-0.177,0.951,0.968
0.947,0.021,-0.169,0.947,0.962
0.949,0.008,-0.182,1.003,1.019
0.950,0.057,-0.200,0.961,0.984
0.952,0.065,-0.231,0.983,1.012
0.955,0.051,-0.281,1.037,1.076
0.957,0.088,-0.313,1.009,1.060
0.961,0.094,-0.338,1.027,1.085
0.963,0.117,-0.343,1.024,1.087
0.966,0.135,-0.314,1.002,1.058
0.967,0.124,-0.290,1.029,1.077
0.970,0.155,-0.269,0.996,1.044
0.972,0.159,-0.262,0.998,1.044
0.975,0.152,-0.258,1.022,1.065
0.977,0.172,-0.245,0.980,1.025
0.980,0.161,-0.241,1.003,1.044
0.983,0.161,-0.260,0.999,1.045
0.984,0.167,-0.275,0.996,1.046
0.986,0.169,-0.282,1.000,1.053
0.989,0.173,-0.281,0.990,1.044
0.992,0.154,-0.280,1.000,1.050
0.994,0.159,-0.267,0.992,1.039
0.998,0.159,-0.242,0.971,1.013
0.999,0.139,-0.223,0.986,1.021
1.002,0.144,-0.227,0.968,1.004
1.004,0.135,-0.238,0.976,1.014
1.007,0.147,-0.270,0.975,1.023
1.010,0.173,-0.290,0.942,1.001
1.011,0.158,-0.290,0.956,1.012
1.017,0.170,-0.284,0.936,0.993
1.017,0.185,-0.277,0.916,0.975
1.022,0.181,-0.268,0.913,0.969
1.023,0.196,-0.265,0.916,0.974
1.024,0.207,-0.283,0.892,0.958
1.027,0.179,-0.293,0.920,0.982
1.029,0.204,-0.314,0.922,0.996
1.035,0.259,-0.343,0.882,0.981
1.035,0.225,-0.355,0.923,1.015
1.037,0.215,-0.349,0.945,1.030
1.039,0.247,-0.360,0.938,1.034
1.042,0.242,-0.344,0.949,1.038
1.044,0.234,-0.322,0.964,1.043
1.046,0.241,-0.288,0.959,1.030
1.049,0.255,-0.260,0.976,1.042
1.051,0.239,-0.235,0.975,1.031
1.053,0.258,-0.236,0.986,1.046
1.056,0.258,-0.240,0.970,1.032
1.058,0.252,-0.249,1.000,1.061
1.060,0.253,-0.230,1.001,1.058
1.064,0.266,-0.252,0.985,1.051
1.066,0.241,-0.237,1.003,1.059
1.068,0.271,-0.231,0.980,1.043
1.071,0.250,-0.213,0.978,1.032
1.073,0.248,-0.195,0.996,1.045
1.076,0.272,-0.164,0.930,0.982
1.078,0.252,-0.164,0.954,1.000
1.082,0.239,-0.169,0.951,0.995
1.083,0.260,-0.190,0.923,0.978
1.086,0.264,-0.212,0.921,0.982
1.088,0.256,-0.256,0.923,0.992
1.091,0.239,-0.262,0.933,0.999
1.094,0.283,-0.264,0.894,0.975
1.095,0.270,-0.256,0.903,0.976
1.104,0.248,-0.259,0.932,0.999
1.104,0.253,-0.265,0.900,0.972
1.105,0.249,-0.267,0.936,1.004
1.107,0.271,-0.254,0.901,0.975
1.109,0.271,-0.248,0.893,0.966
1.109,0.246,-0.236,0.926,0.987
1.113,0.265,-0.234,0.921,0.986
1.120,0.281,-0.242,0.928,0.999
1.120,0.274,-0.252,0.938,1.009
1.120,0.258,-0.240,0.957,1.020
1.122,0.295,-0.239,0.942,1.015
1.125,0.294,-0.212,0.931,0.999
1.127,0.283,-0.196,0.953,1.014
1.130,0.292,-0.178,0.938,0.999
1.132,0.289,-0.155,0.942,0.997
1.135,0.294,-0.139,0.932,0.987
1.138,0.299,-0.137,0.924,0.981
1.140,0.309,-0.144,0.925,0.986
1.141,0.306,-0.134,0.918,0.977
1.145,0.293,-0.137,0.939,0.993
1.147,0.303,-0.140,0.929,0.987
1.149,0.298,-0.133,0.926,0.982
1.151,0.285,-0.139,0.951,1.003
1.154,0.279,-0.151,0.949,1.001
1.157,0.285,-0.167,0.954,1.010
1.159,0.281,-0.193,0.959,1.018
1.161,0.278,-0.216,0.969,1.031
1.173,0.278,-0.248,0.974,1.043
1.173,0.282,-0.258,0.968,1.040
1.173,0.283,-0.255,0.952,1.026
1.173,0.273,-0.254,0.958,1.028
1.177,0.266,-0.244,0.969,1.034
1.178,0.271,-0.235,0.957,1.022
1.182,0.277,-0.218,0.948,1.012
1.182,0.276,-0.220,0.947,1.011
1.183,0.279,-0.217,0.946,1.010
1.186,0.280,-0.210,0.947,1.010
1.189,0.283,-0.211,0.937,1.002
1.191,0.285,-0.217,0.948,1.014
1.193,0.295,-0.205,0.932,0.999
1.197,0.302,-0.184,0.934,0.999
1.198,0.290,-0.152,0.937,0.993
1.201,0.289,-0.138,0.944,0.997
1.203,0.301,-0.140,0.950,1.006
1.206,0.305,-0.102,0.923,0.978
1.209,0.290,-0.066,0.917,0.964
1.210,0.277,-0.071,0.942,0.985
1.217,0.276,-0.087,0.952,0.995
1.217,0.286,-0.114,0.954,1.002
1.222,0.281,-0.096,0.945,0.991
1.222,0.273,-0.051,0.925,0.966
1.223,0.243,-0.030,0.927,0.959
1.225,0.242,-0.049,0.962,0.993
1.228,0.264,-0.100,0.958,0.999
1.230,0.271,-0.070,0.931,0.972
1.232,0.247,-0.047,0.932,0.966
1.235,0.245,-0.089,0.946,0.981
1.238,0.255,-0.147,0.958,1.002
1.240,0.271,-0.130,0.929,0.976
1.243,0.256,-0.102,0.900,0.941
1.245,0.248,-0.130,0.946,0.986
1.248,0.266,-0.160,0.917,0.969
1.250,0.274,-0.132,0.910,0.959
1.253,0.280,-0.103,0.877,0.926
1.256,0.268,-0.114,0.911,0.956
