time,x,y,z,0
1.512,0.256,0.301,0.904,0.016
1.514,0.255,0.299,0.903,0.004
1.517,0.247,0.295,0.901,0.014
1.520,0.239,0.287,0.899,0.018
1.522,0.237,0.281,0.900,0.009
1.525,0.233,0.283,0.904,0.01
1.528,0.222,0.294,0.906,0.024
1.529,0.219,0.306,0.912,0.021
1.532,0.221,0.319,0.917,0.02
1.534,0.224,0.328,0.917,0.012
1.536,0.229,0.331,0.912,0.013
1.539,0.232,0.332,0.920,0.012
1.542,0.238,0.335,0.916,0.013
1.544,0.232,0.335,0.927,0.017
1.546,0.233,0.335,0.932,0.006
1.549,0.246,0.330,0.929,0.021
1.551,0.256,0.346,0.917,0.038
1.553,0.260,0.352,0.929,0.022
1.557,0.258,0.366,0.925,0.02
1.558,0.268,0.371,0.932,0.022
1.562,0.274,0.367,0.930,0.012
1.563,0.275,0.375,0.915,0.024
1.566,0.264,0.363,0.946,0.054
1.569,0.268,0.354,0.935,0.024
1.570,0.279,0.340,0.941,0.031
1.574,0.265,0.324,0.947,0.036
1.576,0.267,0.299,0.964,0.044
1.577,0.267,0.294,0.959,0.01
1.581,0.256,0.294,0.976,0.028
1.583,0.251,0.295,0.972,0.01
1.586,0.246,0.283,0.976,0.021
1.588,0.243,0.280,0.977,0.007
1.593,0.233,0.273,0.967,0.027
1.594,0.227,0.269,0.967,0.01
1.596,0.228,0.277,0.956,0.02
1.598,0.225,0.284,0.944,0.022
1.602,0.218,0.292,0.936,0.023
1.605,0.219,0.303,0.931,0.017
1.619,0.220,0.305,0.921,0.013
1.620,0.221,0.315,0.904,0.028
1.621,0.234,0.325,0.888,0.039
1.621,0.182,0.392,0.877,0.13
1.621,-0.092,0.849,0.698,0.91
1.622,0.473,-0.019,0.912,1.647
1.622,0.312,0.078,0.837,0.333
1.635,0.025,0.639,0.742,0.943
1.636,-0.073,0.817,0.349,0.669
1.636,0.575,-0.319,0.877,2.312
1.636,0.558,-0.119,0.627,0.467
1.636,0.321,0.062,0.885,0.676
1.637,0.258,0.413,0.894,0.423
1.638,0.332,0.495,0.857,0.193
1.643,0.248,0.331,1.079,0.47
1.643,0.233,0.195,1.043,0.187
1.644,0.253,0.233,1.070,0.085
1.647,0.122,0.483,1.260,0.571
1.649,0.346,0.438,0.993,0.536
1.652,0.441,0.244,0.918,0.364
1.654,0.305,0.239,0.894,0.165
1.657,0.257,0.338,0.878,0.163
1.667,0.202,0.283,0.718,0.27
1.668,0.142,0.122,0.740,0.243
1.668,0.111,0.082,0.822,0.153
1.668,0.064,0.175,0.884,0.202
1.670,0.002,0.275,1.101,0.379
1.672,0.099,0.390,0.924,0.389
1.675,0.029,0.457,1.091,0.304
